DevID,YearsExperience,TypeScriptSkill,Salary
1.580000000000000000e+02,3.000000000000000000e+00,6.000000000000000000e+00,6.903400000000000000e+04
1.590000000000000000e+02,1.200000000000000000e+01,6.000000000000000000e+00,1.147510000000000000e+05
1.600000000000000000e+02,1.100000000000000000e+01,8.000000000000000000e+00,1.198760000000000000e+05
1.610000000000000000e+02,1.400000000000000000e+01,1.000000000000000000e+01,1.429340000000000000e+05
1.620000000000000000e+02,1.200000000000000000e+01,7.000000000000000000e+00,1.177050000000000000e+05
1.630000000000000000e+02,6.000000000000000000e+00,5.000000000000000000e+00,8.299900000000000000e+04
1.640000000000000000e+02,1.500000000000000000e+01,5.000000000000000000e+00,1.342510000000000000e+05
1.650000000000000000e+02,7.000000000000000000e+00,5.000000000000000000e+00,9.489600000000000000e+04
1.660000000000000000e+02,5.000000000000000000e+00,9.000000000000000000e+00,9.281000000000000000e+04
1.670000000000000000e+02,1.400000000000000000e+01,4.000000000000000000e+00,1.214700000000000000e+05
1.680000000000000000e+02,6.000000000000000000e+00,2.000000000000000000e+00,7.446800000000000000e+04
1.690000000000000000e+02,2.000000000000000000e+00,4.000000000000000000e+00,6.312400000000000000e+04
1.700000000000000000e+02,8.000000000000000000e+00,1.000000000000000000e+00,8.390900000000000000e+04
1.710000000000000000e+02,1.200000000000000000e+01,2.000000000000000000e+00,1.039470000000000000e+05
1.720000000000000000e+02,3.000000000000000000e+00,1.000000000000000000e+00,5.322800000000000000e+04
1.730000000000000000e+02,7.000000000000000000e+00,8.000000000000000000e+00,9.551400000000000000e+04
1.740000000000000000e+02,2.000000000000000000e+00,8.000000000000000000e+00,7.858500000000000000e+04
1.750000000000000000e+02,1.100000000000000000e+01,7.000000000000000000e+00,1.151810000000000000e+05
1.760000000000000000e+02,8.000000000000000000e+00,5.000000000000000000e+00,9.482300000000000000e+04
1.770000000000000000e+02,5.000000000000000000e+00,8.000000000000000000e+00,8.867100000000000000e+04
1.780000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00,6.882700000000000000e+04
1.790000000000000000e+02,9.000000000000000000e+00,1.000000000000000000e+01,1.106490000000000000e+05
1.800000000000000000e+02,1.100000000000000000e+01,6.000000000000000000e+00,1.088270000000000000e+05
1.810000000000000000e+02,1.500000000000000000e+01,1.000000000000000000e+01,1.427580000000000000e+05
1.820000000000000000e+02,7.000000000000000000e+00,2.000000000000000000e+00,8.086600000000000000e+04
1.830000000000000000e+02,3.000000000000000000e+00,5.000000000000000000e+00,7.171100000000000000e+04
1.840000000000000000e+02,1.300000000000000000e+01,7.000000000000000000e+00,1.259070000000000000e+05
1.850000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+00,1.044110000000000000e+05
1.860000000000000000e+02,1.100000000000000000e+01,5.000000000000000000e+00,1.143780000000000000e+05
1.870000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+00,5.261000000000000000e+04
1.880000000000000000e+02,5.000000000000000000e+00,4.000000000000000000e+00,7.771700000000000000e+04
1.890000000000000000e+02,1.200000000000000000e+01,3.000000000000000000e+00,1.094220000000000000e+05
1.900000000000000000e+02,1.300000000000000000e+01,4.000000000000000000e+00,1.167340000000000000e+05
1.910000000000000000e+02,7.000000000000000000e+00,7.000000000000000000e+00,9.907500000000000000e+04
1.920000000000000000e+02,1.300000000000000000e+01,7.000000000000000000e+00,1.236690000000000000e+05
1.930000000000000000e+02,1.300000000000000000e+01,7.000000000000000000e+00,1.305370000000000000e+05
1.940000000000000000e+02,6.000000000000000000e+00,4.000000000000000000e+00,8.031500000000000000e+04
1.950000000000000000e+02,1.400000000000000000e+01,1.000000000000000000e+01,1.404500000000000000e+05
1.960000000000000000e+02,5.000000000000000000e+00,1.000000000000000000e+00,6.820600000000000000e+04
1.970000000000000000e+02,4.000000000000000000e+00,4.000000000000000000e+00,7.549700000000000000e+04
1.980000000000000000e+02,1.100000000000000000e+01,2.000000000000000000e+00,1.003890000000000000e+05
1.990000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+00,9.984500000000000000e+04
2.000000000000000000e+02,3.000000000000000000e+00,1.000000000000000000e+01,8.021600000000000000e+04
